Numer katalogowy producenta,Nazwa producenta,Opis,Cena jednostkowa,Dostawca
IRM-20-5,MEAN WELL USA Inc.,AC/DC CONVERTER 5V 20W,42.12,TME
IRM-20-12,MEAN WELL USA Inc.,AC/DC CONVERTER 12V 22W,46.16,DigiKey
RPT-60B,MEAN WELL USA Inc.,AC/DC CONVERTER 5V +/-12V 50W,70.8,TME
USB1015-GF-L-A,GCT Limited,USB A SKT MID-TH R/A,4,Farnell
692121230100,Würth Elektronik,CONN RCP USB3.0 TYPEA 9POS TH RA,12.52,Farnell
OKX-T/5-D12N-C,Murata Power Solutions Inc.,DC DC CONVERTER 0.7525-5.5V 25W,28.64,TME
OKR-T/6-W12-C,Murata Power Solutions Inc.,DC DC CONVERTER 0.591-6V 30W,38.12,TME
AP7366EA-33SN-7,Diodes Incorporated,IC REG LINEAR 3.3V 600MA 6DFN,1.6,TME
AT91SAM7S64C-AU,Microchip Technology,IC MCU 16/32BIT 64KB FLSH 64LQFP,24.72,Mouser
W25Q128JVPIQ,Winbond Electronics,IC FLASH 128MBIT SPI/QUAD 8WSON,3.8,Mouser
830069400,Würth Elektronik,CRYSTAL 18.4320MHZ 18PF SMD,2.02,Farnell
482580001,Molex,CONN RCP USB2.0 TYPEA 4POS TH RA,2.81,TME
IRM-10-12,MEAN WELL USA Inc.,AC/DC CONVERTER 12V 10W,28.8,TME
43000103,SCHURTER Inc.,PWR ENT RCPT IEC320-C8 PNL SLDR,4,Mouser
74HC164BQ115,Nexperia USA Inc.,IC SHIFT REGISTER 8BIT DHVQFN14,1.88,Farnell
AT91SAM7S64C-MU,Microchip Technology,IC MCU 16/32BIT 64KB FLASH 64QFN,31.2,Mouser
PIC24FJ1024GB606-I/PT,Microchip Technology,IC MCU 16BIT 1MB FLASH 64TQFP,19.12,Mouser
ENC28J60-I/SS,Microchip Technology,IC ETHERNET CTRLR W/SPI 28SSOP,16.36,Mouser
PIC24FJ128GB202-I/MM,Microchip Technology,IC MCU 16BIT 128KB FLASH 28QFN,20.16,Avnet
SRP1265CC-220M,Bourns Inc.,IND SMD 22UH 10A,7.24,Farnell
SRP1265CC-220M,Bourns Inc.,IND SMD 22UH 10A,7.24,Mouser
AP7366EA-33SN-7,Diodes Incorporated,IC REG LINEAR 3.3V 600MA 6DFN,1.6,RS
AP7331-33SNG-7,Diodes Incorporated,IC REG LIN 3.3V 300MA 6DFN2020,1.84,RS
ESP8285H16,Espressif Systems,IC RF TXRX+MCU WIFI 32QFN,4.2,RS
PTS181224V150,Eaton - Electronics Division,PTC RESET FUSE 24V 1.5A 1812,0.8,RS
0ZCG0300FF2B,Bel Fuse Inc.,PTC RESET FUSE 6V 3A 1812,1.36,Arrow
DF2S6P2FUH3F,Toshiba Semiconductor and Storage,TVS DIODE 5.5VWM 23.7VC USC,1.56,Arrow
TSX-3225 20.0000MF20G-AC3,EPSON,CRYSTAL 20.0000MHZ 9PF SMD,3.36,Arrow
GD25Q16CEIGR,GigaDevice Semiconductor (HK) Limited,IC FLASH 16MBIT SPI/QUAD 8USON,3.52,TME
ECS-2520MV-480-BN-TR,ECS Inc.,XTAL OSC XO 48.0000MHZ CMOS SMD,4.72,Farnell
ECS-2520MV-480-CN-TR,ECS Inc.,XTAL OSC XO 48.0000MHZ CMOS SMD,3.32,TME
ECS-2520MVQ-480-CN-TR,ECS Inc.,XTAL OSC XO 48.0000MHZ CMOS SMD,5.08,Farnell
ECS-2520MVLC-480-CN-TR,ECS Inc.,XTAL OSC XO 48MHZ CMOS SMD,5.08,RS
AP7365-33WG-7,Diodes Incorporated,IC REG LINEAR 3.3V 600MA SOT25,1.76,Arrow
OKR-T/3-W12-C,Murata Power Solutions Inc.,DC DC CONVERTER 0.59-6V 15W,28.64,Arrow
TUSB2046BIRHBR,Texas Instruments,IC HUB CONTROLLER USB 32VQFN,16.6,RS
DDTA143XCA-7-F,Diodes Incorporated,TRANS PREBIAS PNP 50V SOT23-3,0.88,Farnell
IRM-10-5,MEAN WELL USA Inc.,AC/DC CONVERTER 5V 10W,3528,TME